"Adams","Douglas","Life, the Universe, and Everything","05"
"Adams","Douglas","Mostly Harmless","03"
"Adams","Douglas","So Long, and Thanks for All the Fish","05"
"Adams","Douglas","The Hitchhiker's Guide to the Galaxy","05"
"Adams","Douglas","The Restaurant at the End of the Universe","05"
"Adams","Douglas","The Salmon of Doubt","04"
"Adams","Henry","The Education of Henry Adams","05"
"Adams","Laurie","A History of Western Art","05"
"Adams","Richard","Watership Down","05"
"Aeschylus","","Prometheus Bound","10"
"Aeschylus","","Seven Against Thebes","05"
"Alexander","Caroline","The Endurance","05"
"Alter","Robert","The Literary Guide to the Bible","05"
"Anderson","Jon Lee","Che Guevara: A Revolutionary Life","03"
"Anonymous","","Gilgamesh","03"
"Anonymous","","Gospel of Thomas","05"
"Anonymous","trans. by Smyth, Nathan A.","The Song of Roland","05"
"Apollonius Rhodes","","Argonautika","03"
"Aristophanes","","Lysistrata","05"
"Aristophanes","","The Clouds","03"
"Aristotle","","Categories","05"
"Aristotle","","On Interpretation","05"
"Aristotle","","On the Soul","05"
"Aristotle","","Prior Analytics","05"
"Assimov","Isaac","Foundation","02"
"Aurelius","Marcus","Meditations","05"
"Bakewell","Sarah","At the Existentialist Cafe","05"
"Balzac","Honoré","Cousin Bette","03"
"Beckett","Samuel","Waiting for Godot","10"
"Benson","Raymond","Tom Clancy's Splinter Cell","05"
"Bergmann","Merrie","The Logic Book","05"
"Bernecker","Sven","knowledge: Readings in Contemporary Epistemology","03"
"Bloom","Harold","Jesus and Yahweh","05"
"Bradley","A. C.","Shakespearean Tragedy","05"
"Bradley","James","Flags of Our Fathers","05"
"Brown","Dan","Angels & Demons","05"
"Brown","Dan","The Da Vinci Code","05"
"Buchan","John","The Thirty-Nine Steps","05"
"Buchwald","Art","Is It Safe to Drink the Water","03"
"Cabell","James Branch","There Were Two Pirates","05"
"Campbell","Joseph","The Hero with a Thousand Faces","05"
"Campbell","Joseph","The Power of Myth","05"
"Camus","Albert","The Fall","05"
"Camus","Albert","The Plague","05"
"Camus","Albert","The Rebel","03"
"Camus","Albert","The Stranger","05"
"Capote","Truman","Breakfast at Tiffany's","05"
"Chandernagor","Françoise","The King's Way","04"
"Chaucer","Geoffrey","Troilus and Criseyde","05"
"Chesterton","G. K.","Saint Francis of Assisi","05"
"Chesterton","G. K.","Saint Thomas Aquinas","05"
"Clarke","Arthur C.","2001: A Space Odyssey","05"
"Clarke","Oz","Grapes & Wine","03"
"Clarke","Oz","The History of Wine in 100 Bottles","05"
"Clarke","Susanne","Jonathan Strange & Mr. Norrell","05"
"Coelho","Paul","The Alchemist","05"
"Collins","Suzanne","Catching Fire","05"
"Collins","Suzanne","Mockingjay","05"
"Collins","Suzanne","The Hunger Games","05"
"Conrad","Joseph","Heart of Darkness","15"
"Cory","Cynie","American Girl","05"
"Crichton","Michael","Jurassic Park","05"
"Crichton","Michael","Next","05"
"Crichton","Michael","Sphere","05"
"Crichton","Michael","The Lost World","05"
"Cussler","Clive","Plague Ship","05"
"Debord","Guy","The Society of the Spectacle","05"
"Dickens","Charles","A Tale of Two Cities","13"
"Dickens","Charles","Oliver Twist","05"
"Dietz","William C.","Halo: The Flood","05"
"Doerr","Anthony","All the Light We Cannot See","5"
"Dostoevsky","Fyodor","The Idiot","03"
"Dumas","Alexandre","The Three Musketeers","05"
"Durant","Will","The Story of Philosophy","03"
"Eck","David J.","Introduction to Programming Using Java","05"
"Eco","Umberto","Foucault's Pendulum","05"
"Eire","Carlos","Waiting for Snow in Havana","04"
"Eliot","T.S.","The Waste Land","05"
"Emerson","Ralph Waldo","Self-Reliance","05"
"Ephron","Nora","Imaginary Friends","04"
"Eschenroeder","Kyle","Existentially Fucked","04"
"Eschenroeder","Kyle","Self-Made U","05"
"Eschenroeder","Kyle","The Pocket Guide to Action","05"
"Euripides","","Medea","05"
"Fanon","Frantz","The Wretched of the Earth","04"
"Faulkner","William","A Rose for Emily","05"
"Faulkner","William","Abasalom, Absalom!","05"
"Faulkner","William","As I Lay Dying","05"
"Faulkner","William","Barn Burning","05"
"Faulkner","William","Flags in the Dust","05"
"Faulkner","William","The Sound and the Fury","10"
"Feenberg","Andrew","When Poetry Ruled the Streets","05"
"Fitzgerald","F. Scott","The Great Gatsby","15"
"Follett","Ken","The Pillars of the Earth","03"
"Foote","Shelby","The Civil War: A Narrative. Vol 1: Fort Sumter to Perryville","03"
"Franken","Al","Big Fat Stupid White Men","05"
"Franken","Al","Lies and the Lying Liars Who Tell Them","05"
"Frazer","Sir James George","The Golden Bough (selections)","05"
"Freeman","James","The Blue Bottle Craft of Coffee","04"
"Freud","Sigmund","On Narcissism","03"
"Freud","Sigmund","The Ego and the Id","03"
"Freud","Sigmund","The Interpretation of Dreams","04"
"Freud","Sigmund","The Origin and Development of Psycho-Analysis","05"
"Fussell","Paul","Poetic Meter & Poetic Form","05"
"Fussell","Paul","The Boys' Crusade","05"
"Gibson","M.","The Sommelier Prep Course","03"
"Gibson","William","Neuromancer","08"
"Ginsberg","Allen","Howl and Other Poetrys","08"
"Goethe","Johann Wolfgang","Faust, Part One","05"
"Golding","William","Lord of the Flies","04"
"Goldman","William","The Princess Bride","05"
"Gore","Al","The Assault on Reason","05"
"Grass","Günter","The Tin Drum","05"
"Gray","J. Glenn","The Warriors: Reflections on Men in Battle","05"
"Greene","Graham","Our Man in Havana","05"
"Greene","Robert","The 33 Strategies of War","03"
"Greene","Robert","The 48 Laws of Power","05"
"Greenspan","Alan","The Age of Turbulence","03"
"Groom","Winston","Forrest Gump","05"
"Grossman","Lev","The Magician King","05"
"Grossman","Lev","The Magician's Land","05"
"Grossman","Lev","The Magicians","05"
"Gwynne","S. C.","Empire of the Summer Moon","05"
"Hadfield","Chris","An Astronaut's Guide to Life on Earth","05"
"Haley","Alex","The Autobiography of Malcolm X","03"
"Hamilton","Peter F.","The Naked God","05"
"Hamilton","Peter F.","The Neutronium Alchemist","05"
"Hamilton","Peter F.","The Reality Dysfunction","05"
"Hansen","Hardy","Greek: An Intensive Course","03"
"Hanson","Victor Davis","The Western Way of War","05"
"Hawking","Stephen","A Brief History of Time","05"
"Hawking","Stephen","The Universe in a Nutshell","05"
"Hawthorne","Nathaniel","The Scarlet Letter","03"
"Hedges","Chris","War Is a Force That Gives Us Meaning","05"
"Heidegger","Martin","Being and Time","02"
